@relation Review_sentiment


@attribute adjective_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
0.8838999999999999,2
1.6066,4
1.3848,1
0.3796,5
-0.0425,2
0.468,5
-0.3285,1
0.08620000000000001,3
4.3835999999999995,4
4.746499999999999,3
-1.4425999999999999,4
1.0076,3
0.6137,5
0,5
0.3597,3
-0.37009999999999993,3
1.0802,2
-3.3825000000000003,1
1.101,4
0.15980000000000005,1
0.098,2
0.5761000000000001,5
0.9471999999999999,1
-1.672,3
0.0981,1
0.004,2
-0.9059999999999999,4
0.2418,5
-0.8227,5
0.7299,5
2.92,4
0.3716,2
-1.4207,2
0.3796,2
-1.2381,4
2.8565,5
-0.17049999999999998,2
0.004,1
-1.0747,3
-0.005599999999999999,3
0.3962,4
0.8307,5
-0.10110000000000002,1
-0.0018000000000000238,3
0.004,1
-0.27640000000000003,3
0,1
2.2851,5
1.1635,5
2.8766000000000003,4
-2.0246,3
0.22360000000000002,4
2.5472,3
-2.111,2
0.3694,2
0.004,5
0,4
0.20629999999999996,2
-0.2636,4
-0.9666,1
-1.6063,3
4.3835999999999995,4
0.03629999999999997,1
0.5741,4
-0.42,3
0.8059,3
0.09770000000000001,1
0.037599999999999995,2
1.3052,1
0.741,2
-0.6249,2
0.07819999999999999,4
-0.046000000000000096,3
1.0386,1
0.129,4
-0.7979999999999999,2
0.3797,4
-0.38820000000000027,2
0,4
-0.2541,1
1.6904,4
0.9971,5
0.11390000000000002,2
0.4607999999999999,2
1.0066000000000002,3
0.32059999999999994,2
0.12459999999999999,1
0.30529999999999996,5
0.3882,3
0.5661,1
0.2291,4
0.473,5
0.8465,1
0.0004999999999999657,4
0.44060000000000005,5
0.38549999999999995,3
0.79,5
