@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
0.004,4
1.9597000000000002,3
-1.7657999999999996,1
0.6943000000000003,2
-2.4227,1
3.451800000000001,4
-0.7666,1
0.3514,5
-3.6067000000000005,4
-1.0338999999999996,5
-0.37599999999999995,5
0.3173,2
-0.7026,1
1.5338,5
1.359,5
1.5261,5
-0.3129,1
-0.6521,4
0.32759999999999995,5
0.9141999999999999,1
-0.4802,1
-0.4909,3
0.030399999999999983,1
0.09309999999999999,3
2.4219999999999997,4
1.5148,4
-2.0227,2
0.9499,3
-0.7754,1
2.7456000000000005,4
-0.7076,2
1.703000000000001,5
-0.6668000000000002,4
-1.1358,2
-0.6113000000000001,3
1.2563,3
-1.1724999999999999,2
-1.2666,2
-1.8990999999999998,1
0.004,1
-0.7676000000000001,1
1.1337,5
3.4207,4
-0.7951,2
-0.48419999999999996,4
-2.0355,5
0.6838999999999998,3
-0.39130000000000004,2
-0.15760000000000002,2
0,4
0.4832,5
1.7854999999999996,3
-0.2635,4
0.4705,4
-0.7251000000000001,1
-0.5244,4
1.1954,3
0.19340000000000002,5
0.37839999999999996,1
0.15710000000000002,3
0.004500000000000004,1
0.8294,5
-2.0223999999999998,3
-0.2953,3
0.004,1
-1.1045999999999998,1
0.6621,2
0.05849999999999994,2
1.0108,5
-0.7446,5
1.7356000000000003,4
0.17619999999999997,5
0.43989999999999996,2
-0.5069,3
-1.0141,2
1.2756,4
0,3
16.451800000000002,5
1.4167,5
-0.7686000000000001,1
0.23220000000000005,2
-0.09010000000000001,3
0.2776,1
1.5312999999999999,4
0.2334000000000001,4
-0.005599999999999999,2
-1.9474000000000005,2
3.2441999999999998,3
-0.34969999999999996,1
2.4006,5
-0.8917,3
5.322599999999989,4
0.393,4
-0.8978999999999999,1
-0.6050000000000001,4
1.2348999999999999,5
0.28780000000000006,1
1.1772,3
0.4925,4
-1.0554,2
1.3264999999999998,4
0.401,4
-2.4259000000000004,4
-0.3705,5
1.3576999999999997,1
-0.6941000000000002,1
-0.3527,1
1.8219,5
2.2888,3
1.0885,3
-0.6301,3
0.09250000000000003,2
0.004,4
0.11900000000000001,5
-1.1832,5
-0.052200000000000024,2
0.6123,3
-0.39220000000000005,1
-1.9218,3
2.1338,5
-3.7048999999999985,2
0.022099999999999898,2
0.5235,1
0.12110000000000001,1
-1.1469,2
0.21810000000000002,5
-0.29890000000000005,2
-0.4032999999999999,2
0.03410000000000001,3
0,4
-0.5513999999999999,3
