@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute adjective_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
0.6402000000000001,240,2.2013000000000003,-0.3406,3
1.3415000000000001,30,1.3375000000000001,0,4
0.022899999999999865,648,2.8836,-1.4671,1
0.08310000000000001,48,0.004,0.004,2
0.3756,35,0.3756,0,5
-2.0852000000000004,815,1.2609000000000004,-1.3313000000000001,2
1.8250000000000002,44,1.7213000000000003,0.0997,5
0.7138000000000001,120,1.725,-0.5325,4
1.7806,116,1.5896,0.191,3
-0.04820000000000002,245,1.5407999999999997,0.22210000000000002,2
0.19689999999999996,33,0.19689999999999996,0,3
-1.2579,414,0.524,-0.5051,2
0.47479999999999994,115,0.47959999999999997,-0.0048,4
-1.073,56,0,-1.073,1
1.5444000000000004,448,2.4999000000000002,0.961,2
0.757,115,0.7538,-0.0007999999999999995,1
1.0568,36,0.7118,0.345,5
3.3169000000000004,248,4.3337,-0.5373,4
-1.6013,269,-0.6982999999999999,0.34869999999999995,3
0.0081,25,0.0081,0,4
-1.4819,125,0.1099,-1.2053,3
1.8375999999999995,641,2.4092,0.32880000000000004,3
4.971299999999999,368,4.433,0.004,4
1.4534,127,0.6051,0.3474,4
1.4162,138,1.209,0.212,5
0.3716,40,0.3716,0,1
-0.39130000000000004,58,-0.0048,0,2
-0.6802999999999999,206,-0.635,0.4294,3
0,21,0,0,2
0.4589,180,0.8333999999999999,0.004,5
0.5783,23,0.5831,-0.0048,3
4.4358,438,4.2468,0.1866,5
2.2516,176,2.5806,-0.333,3
0.39849999999999997,139,0.38649999999999995,0.004,2
-3.3159,404,-0.5499,-1.5296999999999998,1
2.0099,268,1.9654999999999998,0,5
0.04620000000000002,38,0.04700000000000004,0.004,1
-0.48279999999999995,82,0.397,-0.5373,2
1.3693,28,1.3653,0,4
-0.2869,140,-0.15599999999999997,-0.0048,3
0.008,74,0,0,1
1.5704,194,0.7951000000000001,0.5905,2
0,37,0,0,1
-0.3161,46,0,0.004,4
4.386799999999999,166,4.054399999999999,0.3324,5
0.3587,27,0.3587,0,3
0.5172,35,0.5172,0,5
-1.1954999999999998,105,-1.1946999999999999,-0.0048,1
-1.7649000000000001,386,-0.01719999999999977,-0.3252,5
1.1286,76,1.1246,0,4
1.6523999999999999,75,0.41459999999999997,0.4324,5
-0.44000000000000017,332,0.03009999999999997,-0.3426,1
-0.407,83,-0.7356,0,3
-2.365799999999999,564,0.9689000000000002,-1.1898,2
0.8106,319,0.5835999999999999,0.219,4
-0.2321999999999999,194,-0.4482999999999999,-0.327,2
-0.4401,154,0.027400000000000035,0.004,1
-0.5509999999999999,79,-0.5549999999999999,0.004,2
0.2216,370,0.8569,-0.3057,3
-0.038099999999999995,28,0.008,0,5
-1.105,28,-0.6262999999999999,0,4
1.3235,130,1.5686,0.10139999999999999,2
0.3228000000000002,177,1.0733000000000001,0.004,2
0.20619999999999994,143,1.0098999999999998,-0.333,5
0.004,34,0,0.004,1
0.16929999999999995,30,0.36679999999999996,-0.1975,1
0.2177,20,0.2177,0,4
-0.0007999999999999995,25,-0.0007999999999999995,0,5
0.004,31,0,0.004,5
-0.1510999999999999,167,-0.20019999999999993,0.4364,4
0.23949999999999988,119,0.29680000000000006,0.10139999999999999,2
-0.7574000000000003,510,1.3262999999999998,-0.6672,4
0.24949999999999994,221,1.1095000000000002,0.0974,4
2.2435,309,2.2315,0.008,5
-0.25420000000000004,24,0.2245,0,3
0.5472999999999999,155,0.8581,0.1879,1
-2.0446,61,-0.5287999999999999,-1.1419000000000001,1
0.5857,23,0.3756,0.2101,5
-0.679,181,0.1292,0.03280000000000001,2
-2.0479,270,-0.5813,0.21550000000000002,4
0.2408,26,0.2408,0,3
0.9373999999999999,165,1.9709000000000003,0,3
0.7942999999999998,365,1.2737999999999998,0,3
0.17749999999999994,92,0.6053,0.0509,4
-0.09429999999999986,93,0.2815000000000001,0,1
0.2265,42,0.2265,0,2
-1.0503000000000002,109,-0.0849,-0.329,1
-0.2042000000000004,427,1.7738,-0.019299999999999984,1
3.8915999999999995,714,3.7740000000000005,1.5894000000000001,4
0.004,29,0,0,1
0.6650000000000001,133,1.0471000000000001,0,3
0.004,47,0.004,0,1
