@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute binary_judgement {good, bad}
@data
27,-25511.1,4496.3,-30007.4,0,good
22,0,0,0,0,good
51,-2423.53,4082.35,0,-6411.76,bad
70,-22410,3074.29,-18661.4,-6822.86,bad
28,3478.57,0,0,3478.57,bad
26,9723.08,9569.23,0,0,bad
63,7730.16,7730.16,0,0,bad
28,-14971.4,-27378.6,0,12407.1,good
103,0,0,0,0,bad
98,-10213.3,-1951.02,0,-3377.55,bad
23,44956.5,30930.4,0,14026.1,good
53,890.566,9126.42,0,-8235.85,good
23,-5186.96,-5186.96,0,0,good
30,0,0,0,0,bad
52,-29500,-29730.8,153.846,76.9231,bad
89,7935.96,4311.24,3579.78,44.9438,bad
26,16784.6,0,0,16784.6,good
109,-5311.01,-5222.94,-88.0734,0,bad
39,-15241,-6753.85,0,-8487.18,bad
53,-16152.8,-10249.1,0,-5903.77,bad
20,-7400,-7400,0,0,bad
26,48838.5,48684.6,0,153.846,good
78,-11885.9,-8400,-4397.44,911.538,bad
39,2771.79,2566.67,102.564,102.564,good
36,10822.2,10711.1,0,111.111,bad
110,11155.5,6838.18,0,4317.27,bad
24,-33.3333,-33.3333,0,0,bad
24,15391.7,15391.7,0,0,good
26,14446.2,14292.3,153.846,0,good
52,16536.5,16459.6,76.9231,0,good
231,-5781.39,-1163.64,31.1688,-4648.92,bad
88,11775,3831.82,5445.45,2497.73,bad
30,20106.7,8606.67,0,11500,good
30,24596.7,24463.3,133.333,0,good
32,-35650,-20690.6,0,0,bad
30,-15846.7,110,0,0,good
42,-114.286,0,-114.286,0,bad
22,28886.4,10654.5,0,18231.8,good
46,-17.3913,-17.3913,0,0,bad
68,-4332.35,-3876.47,0,-455.882,good
41,-18100,195.122,-6717.07,97.561,good
90,32.2222,5876.67,-5782.22,-8.88889,good
21,-4971.43,0,11676.2,0,bad
50,-20462,-13538,0,-6924,bad
41,22343.9,14941.5,0,-5746.34,good
69,-4801.45,5678.26,-5601.45,-4878.26,bad
38,48694.7,48694.7,0,0,good
12,-39558.3,0,0,333.333,bad
33,-10030.3,0,0,-10030.3,bad
29,-14989.7,-14989.7,0,0,bad
157,4073.89,6675.16,452.866,-5.09554,good
78,-121.795,10214.1,-10387.2,51.2821,bad
42,10088.1,10088.1,0,0,bad
36,-16416.7,11783.3,0,-14902.8,bad
24,-38245.8,-38412.5,0,166.667,bad
41,3624.39,3624.39,0,0,good
26,21265.4,18788.5,153.846,0,bad
155,5681.94,1245.16,25.8065,4410.97,bad
28,14975,39089.3,-24114.3,0,bad
77,-25037.7,-8257.14,-4263.64,-6300,bad
54,0,0,0,0,bad
41,1812.2,195.122,1734.15,-117.073,bad
82,-4953.66,1431.71,-6375.61,-9.7561,good
75,9860,14930.7,-561.333,0,good
38,2778.95,2673.68,0,105.263,good
