@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute stars {1,2,3,4,5}
@data
1.5444000000000004,448,2
0.757,115,1
1.0568,36,5
3.3169000000000004,248,4
-1.6013,269,3
0.0081,25,4
-1.4819,125,3
1.8375999999999995,641,3
4.971299999999999,368,4
1.4534,127,4
1.4162,138,5
0.3716,40,1
-0.39130000000000004,58,2
-0.6802999999999999,206,3
0,21,2
0.4589,180,5
0.5783,23,3
4.4358,438,5
2.2516,176,3
0.39849999999999997,139,2
-3.3159,404,1
2.0099,268,5
0.04620000000000002,38,1
-0.48279999999999995,82,2
1.3693,28,4
-0.2869,140,3
0.008,74,1
1.5704,194,2
0,37,1
-0.3161,46,4
4.386799999999999,166,5
0.3587,27,3
0.5172,35,5
-1.1954999999999998,105,1
-1.7649000000000001,386,5
1.1286,76,4
1.6523999999999999,75,5
-0.44000000000000017,332,1
-0.407,83,3
-2.365799999999999,564,2
0.8106,319,4
-0.2321999999999999,194,2
-0.4401,154,1
-0.5509999999999999,79,2
0.2216,370,3
-0.038099999999999995,28,5
-1.105,28,4
1.3235,130,2
0.3228000000000002,177,2
0.20619999999999994,143,5
0.004,34,1
0.16929999999999995,30,1
0.2177,20,4
-0.0007999999999999995,25,5
0.004,31,5
-0.1510999999999999,167,4
0.23949999999999988,119,2
-0.7574000000000003,510,4
0.24949999999999994,221,4
2.2435,309,5
-0.25420000000000004,24,3
0.5472999999999999,155,1
-2.0446,61,1
0.5857,23,5
-0.679,181,2
-2.0479,270,4
0.2408,26,3
0.9373999999999999,165,3
0.7942999999999998,365,3
0.17749999999999994,92,4
-0.09429999999999986,93,1
0.2265,42,2
-1.0503000000000002,109,1
-0.2042000000000004,427,1
3.8915999999999995,714,4
0.004,29,1
0.6650000000000001,133,3
0.004,47,1
3.082900000000001,507,2
4.956899999999999,1218,4
0,80,4
-0.1795,144,5
0.007200000000000001,54,2
2.1338,71,5
0.8553,59,5
-0.26329999999999987,441,3
0.393,24,5
-1.4918999999999998,155,1
4.1105,347,5
-0.8562999999999998,144,2
0.3594,23,2
-0.4787,35,2
-0.2973,71,2
0.3962,56,3
-0.46430000000000005,69,3
2.4588000000000005,181,5
-0.7735,72,1
-1.1332,37,4
0.3694,38,3
-0.8303,42,2
0.7778,71,4
0.03420000000000001,116,1
0.48889999999999995,121,3
-0.6335000000000002,557,3
1.3232000000000002,73,3
1.8795,1515,4
-0.9859,52,2
0.2851,23,3
0.3899,67,1
0.008,20,1
7.177499999999994,676,4
0.746,77,2
-1.2119999999999997,161,2
-0.6688000000000001,121,1
4.330999999999999,342,5
0.703,32,4
-0.5552000000000001,138,3
1.1897000000000002,80,2
0.3716,20,3
0.3774,18,5
0.4282,80,5
1.6916,125,3
-1.1262,62,1
1.2700999999999998,67,4
0.0012000000000000274,80,2
0,19,4
-3.0219999999999976,1066,2
1.4770999999999999,21,5
0.07740000000000001,40,3
4.9472999999999985,265,5
0.8612999999999998,155,2
-1.1654000000000004,259,3
-1.0234,239,2
0.36439999999999995,44,4
0.09770000000000001,22,4
0.16799999999999998,53,5
-0.4906,36,1
0.02,42,4
0.18190000000000006,64,5
0.0711,28,1
-0.22449999999999992,100,3
0.16080000000000003,55,1
-0.3399,153,1
0.6650999999999999,216,3
0.42469999999999997,53,5
0.3412,20,2
-0.3356,61,5
-0.07520000000000004,108,1
-0.41390000000000016,270,4
-0.5194000000000001,29,2
0.27560000000000007,209,5
-0.8115000000000001,155,4
-4.644399999999999,474,1
1.7655999999999998,184,3
-2.1369000000000002,139,3
-0.6418999999999999,39,1
-1.0174,129,2
-1.204,407,1
0.004,31,3
0.4052,74,3
0.03360000000000001,54,4
-0.9115000000000001,135,1
0.0012000000000000274,80,2
-0.9206,50,2
0.6221,29,5
-1.1783,142,1
0,32,5
2.639800000000001,906,3
0.5146000000000001,47,2
0.035499999999999976,81,4
-3.0638,354,5
-1.2011999999999998,66,1
2.9025999999999996,77,5
0.4132,24,4
0,31,1
-1.0415,74,1
0.3716,25,4
2.260800000000001,665,4
0.3042000000000001,144,3
3.3987,175,4
-0.8359,131,2
0,28,1
1.2982,34,5
-0.9386000000000001,78,2
0.7315,93,5
-0.7331,68,2
0.5001000000000002,115,1
0.8573,25,5
0.7432,60,4
-0.5174,140,4
-0.2529,34,1
1.3615,33,5
-1.327,215,3
1.6940999999999997,341,4
0.5435,149,5
0.5287999999999999,71,5
0.9073000000000002,857,2
0.47740000000000005,239,3
-1.2320000000000002,225,2
0.5164000000000001,107,4
0.2097,75,3
0.8448,27,3
-0.3944,111,2
-0.7811000000000001,106,1
0.9347,151,1
1.3577,124,4
0.1255,62,4
2.0368999999999997,22,5
0.004,38,2
-2.6083,494,1
0.49429999999999985,232,5
-0.1996,22,3
0.8808,49,5
-0.02719999999999998,91,1
1.4423,131,5
1.6275999999999997,37,5
0.004,88,1
0.24839999999999998,57,1
0.2704,101,4
0.9524999999999999,26,4
-0.31989999999999996,316,2
2.639800000000001,906,3
1.8316,82,3
-1.2964,48,2
0.46649999999999997,27,3
-1.0236999999999998,58,2
0.004,20,3
0.07540000000000013,26,4
-2.5734999999999997,115,1
0.4448,130,3
-0.9464,107,3
0.6073999999999999,26,4
-0.0096,77,1
-0.4909,40,3
0.5954,133,3
-0.38530000000000003,107,1
0.5828,25,5
-0.13,39,4
4.2404,1169,4
-1.2001000000000002,377,5
0.9336,21,4
0.5012,127,2
-0.911,86,2
-0.9046,95,3
-4.258099999999999,575,2
-0.32940000000000014,134,4
0.2158,43,5
0.9096999999999998,178,2
-0.15309999999999999,155,1
2.2811000000000003,299,5
0.5639,75,2
-2.8719999999999994,661,3
0.1169,35,5
0.393,50,5
0.03190000000000004,53,3
-0.8346,100,2
-2.0283999999999995,99,1
0.1169,28,5
