@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
424,1613.92,2743.63,-616.509,-513.208,4
964,8351.24,7817.63,349.481,105.29,5
33,36909.1,36666.7,121.212,121.212,5
45,11904.4,9828.89,88.8889,1986.67,5
709,-2674.19,-348.096,-2337.38,11.2835,3
145,10464.1,15343.4,-2582.76,-2296.55,5
63,21874.6,20328.6,0,1546.03,5
46,20608.7,11606.5,0,9002.17,5
51,17298,17298,0,0,5
80,5352.5,5835,-482.5,0,5
262,4642.37,4596.56,45.8015,0,5
208,-5674.52,5212.5,-9805.77,-1058.17,4
102,2730.39,3060.78,0,-330.392,5
21,44676.2,35581,0,0,5
32,14865.6,14865.6,0,0,5
258,6474.42,6761.24,-1262.79,975.969,5
41,19422,19422,0,0,5
40,24345,11895,0,12450,3
350,4382.29,3002.86,45.7143,1333.71,5
103,8777.67,8103.88,112.621,561.165,5
194,8094.85,4098.45,952.577,3043.81,2
1087,3356.21,5545.45,-1264.67,-484.177,5
573,2780.28,4038.92,-3109.6,1228.1,5
112,3524.11,8077.68,-4589.29,35.7143,5
38,9884.21,9778.95,0,105.263,3
76,16168.4,11369.7,0,4798.68,4
53,4356.6,4356.6,0,0,5
240,3536.67,1695.42,16.6667,1824.58,4
318,3588.99,5570.13,-1600.94,683.333,5
22,-9654.55,181.818,-9836.36,0,1
376,29890.4,24348.4,0,3284.57,5
434,-1906.68,-1683.18,-992.857,769.355,4
23,521.739,347.826,0,173.913,4
144,290.278,2810.42,-2575.69,55.5556,1
30,23746.7,23746.7,0,0,5
35,21337.1,2702.86,0,18634.3,5
152,13295.4,12533.6,102.632,659.211,5
47,15817,15748.9,85.1064,-17.0213,5
44,10981.8,10890.9,90.9091,0,5
26,32723.1,14292.3,18430.8,0,5
1230,6607.8,5946.75,-65.5285,656.748,4
298,5461.41,3563.76,61.745,0,1
61,-13.1148,0,0,-13.1148,4
30,41253.3,41253.3,0,0,5
78,4266.67,0,-8605.13,12871.8,5
151,-962.914,-2070.2,21.1921,-178.808,5
141,9626.24,9239.01,-303.546,690.78,5
28,-6296.43,-6296.43,0,0,5
117,5176.07,8954.7,-3303.42,-475.214,5
40,3002.5,3002.5,0,0,5
344,3534.3,3684.59,-150.291,0,5
756,-1947.09,2332.8,-2555.82,-1283.07,5
26,25400,3803.85,0,21596.2,5
107,18543.9,8634.58,0,4871.03,5
58,-8474.14,-7824.14,68.9655,-718.966,3
110,25290.9,25254.5,0,36.3636,4
125,11268,11312.8,-44.8,0,2
24,14425,14425,0,0,5
22,39672.7,39672.7,0,0,5
207,5648.31,11099,38.6473,-864.251,4
87,20736.8,25813.8,45.977,-5122.99,4
33,21481.8,21481.8,0,0,1
25,48052,48052,0,0,5
32,29462.5,29462.5,0,0,5
